,Id,SubActivity,MainActivity,MainIndustry
417,2912,Manufacture of pumps,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
418,2912,Manufacture of compressors,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
543,2912,Manufacture of pumps,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
419,2913,Manufacture of taps and valves,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
420,2914,"Manufacture of bearings, gears, gearing and driving elements",Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
425,2921,Manufacture of furnaces and furnace burners,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
428,2922,Manufacture of lifting and handling equipment,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
434,2923,Manufacture of non-domestic cooling and ventilation equipment,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
436,2924,Manufacture of other general purpose machinery n.e.c.,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
439,2931,Manufacture of agricultural tractors,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
440,2932,Manufacture of other agricultural and forestry machinery,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
433,2941,Manufacture of portable hand held power tools,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
443,2942,Manufacture of other metalworking machine tools,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
409,2943,Manufacture of other machine tools n.e.c.,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
447,2951,Manufacture of machinery for metallurgy,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
449,2952,Manufacture of machinery for mining,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
450,2952,Manufacture of earthmoving equipment,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
452,2952,Manufacture of equipment for concrete crushing and screening and roadworks,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
441,2953,"Manufacture of machinery for food, beverage and tobacco processing",Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
454,2954,"Manufacture of machinery for textile, apparel and leather production",Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
456,2955,Manufacture of machinery for paper and paperboard production,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
351,2956,Manufacture of other special purpose machinery n.e.c.,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
342,2960,Manufacture of weapons and ammunition,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
407,2971,Manufacture of electric domestic appliances,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
408,2972,Manufacture of non-electric domestic appliances,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
430,3001,Manufacture of office machinery,Manufacture Electrical & Optical Equipment,"Manufacture of Machinery, Electrical"
368,3002,Manufacture of computers and other information processing equipment,Manufacture Electrical & Optical Equipment,"Manufacture of Machinery, Electrical"
362,3110,"Manufacture of electric motors, generators and transformers",Manufacture of Electrical Machinery etc.,"Manufacture of Machinery, Electrical"
363,3120,Manufacture of electricity distribution and control apparatus,Manufacture of Electrical Machinery etc.,"Manufacture of Machinery, Electrical"
364,3130,Manufacture of insulated wire and cable,Manufacture of Electrical Machinery etc.,"Manufacture of Machinery, Electrical"
397,3140,"Manufacture of accumulators, primary cells and primary batteries",Manufacture of Electrical Machinery etc.,"Manufacture of Machinery, Electrical"
404,3150,Manufacture of lighting equipment and electric lamps,Manufacture of Electrical Machinery etc.,"Manufacture of Machinery, Electrical"
405,3161,Manufacture of electrical equipment for engines and vehicles n.e.c.,Manufacture of Electrical Machinery etc.,"Manufacture of Machinery, Electrical"
304,3162,Manufacture of other electrical equipment n.e.c.,Manufacture of Electrical Machinery etc.,"Manufacture of Machinery, Electrical"
365,3210,Manufacture of electronic valves and tubes and other electronic components,"Manufacture of Radio, TV & Equipment","Manufacture of Machinery, Electrical"
371,3220,Manufacture of telegraph and telephone apparatus and equipment,"Manufacture of Radio, TV & Equipment","Manufacture of Machinery, Electrical"
372,3220,Manufacture of radio and electronic capital goods,"Manufacture of Radio, TV & Equipment","Manufacture of Machinery, Electrical"
366,3230,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods","Manufacture of Radio, TV & Equipment","Manufacture of Machinery, Electrical"
385,3310,Manufacture of medical and surgical equipment and orthopaedic appliances,Manufacture Medical & Precision Instruments,"Manufacture of Machinery, Electrical"
