"","Source","Target","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"124","2621","8010",-0.431316057908814,"Manufacture of ceramic household and ornamental articles","Primary education","NA","NA","NA","NA",15
"125","2211","8010",-0.510800798308468,"Publishing of books","Primary education","NA","NA","NA","NA",21
"126","3611","8010",-0.583091434423709,"Manufacture of chairs and seats","Primary education","NA","NA","NA","NA",10
"127","7487","8010",-0.360445040186826,"Other business activities not elsewhere classified, Specialty design activities, Activities of exhibition and fair organisers,Activities of conference organisers,Credit reporting and collection agency activities","Primary education","NA, NA, NA","NA","NA, NA, NA","NA",97
"128","3002","8010",-0.697909968459599,"Manufacture of computers and other information processing equipment","Primary education","NA","NA","NA","NA",11
"129","2875","8010",-0.632679907646686,"Manufacture of other fabricated metal products n.e.c.","Primary education","NA","NA","NA","NA",11
"130","5510","8010",-0.334742007371161,"Hotels and motels with restaurant (licensed and unlicensed) and without restaurant","Primary education","NA","NA","NA","NA",71
"131","5050","8010",-0.360487755291964,"Retail sale of automotive fuel","Primary education","NA","NA","NA","NA",33
"132","3420","8010",-0.543716456563173,"Manufacture of bodies (coachwork) for motor vehicles (except caravans), Manufacture of trailers and semi-trailers, Manufacture of caravans","Primary education","NA, NA, NA","NA","NA, NA, NA","NA",10
"133","3162","8010",-0.616947119947744,"Manufacture of other electrical equipment n.e.c.","Primary education","NA","NA","NA","NA",15
"134","5142","8010",-0.582705462916122,"Wholesale of adults' fur and leather clothing,Wholesale of children's and infants' clothing,Wholesale of footwear, Wholesale of clothing n.e.c.","Primary education","NA","NA","NA","NA",17
"135","3230","8010",-0.603547941399784,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods","Primary education","NA","NA","NA","NA",13
"136","6523","8010",-0.747221877731782," Activities of bank holding companies Financial intermediation not elsewhere classified, Activities of investment trusts,unit trusts, venture and development capital companies,open-ended investment companies,property unit trusts, Security dealing on own account","Primary education","NA, NA, NA","NA","NA, NA, NA","NA",10
"137","7513","8010",-0.282579666165339,"Regulation of and contribution to more efficient operation of business","Primary education","NA","NA","NA","NA",97
"138","2513","8010",-0.457662507285675,"Manufacture of other rubber products","Primary education","NA","NA","NA","NA",10
